alias,alias_normalized,canonical_country_region,ip_zone,match_note,demand_region_cn,demand_region_code,demand_rate_cny_per_kg,demand_minimum_cny,demand_review_status
United States - Other Areas (美国其他地区),united states - other areas (美国其他地区),美国其他地区,2,Dropdown display label,美国和波多黎各,US_PR,0.0,1.8,OK
United States - Western Region (美国西部),united states - western region (美国西部),U.S. (Western Region) 美国西部,1,Dropdown display label,美国和波多黎各,US_PR,0.0,1.8,OK
USA,usa,美国其他地区,2,Manual default: non-western US unless ZIP/state specifies western region,美国和波多黎各,US_PR,0.0,1.8,OK
US,us,美国其他地区,2,Manual default: non-western US unless ZIP/state specifies western region,美国和波多黎各,US_PR,0.0,1.8,OK
U.S.,u.s.,美国其他地区,2,Manual default: non-western US unless ZIP/state specifies western region,美国和波多黎各,US_PR,0.0,1.8,OK
United States,united states,美国其他地区,2,Manual default: non-western US unless ZIP/state specifies western region,美国和波多黎各,US_PR,0.0,1.8,OK
United States of America,united states of america,美国其他地区,2,Manual default: non-western US unless ZIP/state specifies western region,美国和波多黎各,US_PR,0.0,1.8,OK
America,america,美国其他地区,2,Manual default: non-western US unless ZIP/state specifies western region,美国和波多黎各,US_PR,0.0,1.8,OK
美国,美国,美国其他地区,2,Manual default: non-western US unless ZIP/state specifies western region,美国和波多黎各,US_PR,0.0,1.8,OK
美国其他地区,美国其他地区,美国其他地区,2,PDF page 24,美国和波多黎各,US_PR,0.0,1.8,OK
U.S. Western Region,u.s. western region,U.S. (Western Region) 美国西部,1,Manual western ZIP region alias,美国和波多黎各,US_PR,0.0,1.8,OK
US Western,us western,U.S. (Western Region) 美国西部,1,Manual western ZIP region alias,美国和波多黎各,US_PR,0.0,1.8,OK
美国西部,美国西部,U.S. (Western Region) 美国西部,1,Manual western ZIP region alias,美国和波多黎各,US_PR,0.0,1.8,OK
美国西部地区,美国西部地区,U.S. (Western Region) 美国西部,1,Manual western ZIP region alias,美国和波多黎各,US_PR,0.0,1.8,OK
UK,uk,United Kingdom (Great Britain),K,Manual common alias,欧洲区,EUROPE,8.0,1.8,OK
英国,英国,United Kingdom (Great Britain),K,Manual common alias,欧洲区,EUROPE,8.0,1.8,OK
Great Britain,great britain,United Kingdom (Great Britain),K,Manual common alias,欧洲区,EUROPE,8.0,1.8,OK
Philippines,philippines,Phillipines,S,Manual spelling alias for PDF label Phillipines,亚洲区,ASIA,0.0,1.8,OK
菲律宾,菲律宾,Phillipines,S,Manual Chinese alias for PDF label Phillipines,亚洲区,ASIA,0.0,1.8,OK
Afghanistan (阿富汗),afghanistan (阿富汗),Afghanistan 阿富汗,H,Dropdown display label,中东/印度次大陆/非洲区,MEISA,11.2,1.8,OK
Afghanistan,afghanistan,Afghanistan 阿富汗,H,From PDF country/region English label,中东/印度次大陆/非洲区,MEISA,11.2,1.8,OK
阿富汗,阿富汗,Afghanistan 阿富汗,H,From PDF country/region Chinese label,中东/印度次大陆/非洲区,MEISA,11.2,1.8,OK
Afghanistan 阿富汗,afghanistan 阿富汗,Afghanistan 阿富汗,H,From PDF combined label,Need Review,Need Review,,1.8,Need Review
Albania (阿尔巴尼亚),albania (阿尔巴尼亚),Albania 阿尔巴尼亚,H,Dropdown display label,欧洲区,EUROPE,8.0,1.8,OK
Albania,albania,Albania 阿尔巴尼亚,H,From PDF country/region English label,欧洲区,EUROPE,8.0,1.8,OK
阿尔巴尼亚,阿尔巴尼亚,Albania 阿尔巴尼亚,H,From PDF country/region Chinese label,欧洲区,EUROPE,8.0,1.8,OK
Albania 阿尔巴尼亚,albania 阿尔巴尼亚,Albania 阿尔巴尼亚,H,From PDF combined label,Need Review,Need Review,,1.8,Need Review
Algeria (阿尔及利亚),algeria (阿尔及利亚),Algeria 阿尔及利亚,H,Dropdown display label,中东/印度次大陆/非洲区,MEISA,11.2,1.8,OK
Algeria,algeria,Algeria 阿尔及利亚,H,From PDF country/region English label,中东/印度次大陆/非洲区,MEISA,11.2,1.8,OK
阿尔及利亚,阿尔及利亚,Algeria 阿尔及利亚,H,From PDF country/region Chinese label,中东/印度次大陆/非洲区,MEISA,11.2,1.8,OK
Algeria 阿尔及利亚,algeria 阿尔及利亚,Algeria 阿尔及利亚,H,From PDF combined label,Need Review,Need Review,,1.8,Need Review
American Samoa (美属萨摩亚岛),american samoa (美属萨摩亚岛),American Samoa 美属萨摩亚岛,G,Dropdown display label,亚洲区,ASIA,0.0,1.8,OK
American Samoa,american samoa,American Samoa 美属萨摩亚岛,G,From PDF country/region English label,亚洲区,ASIA,0.0,1.8,OK
美属萨摩亚岛,美属萨摩亚岛,American Samoa 美属萨摩亚岛,G,From PDF country/region Chinese label,亚洲区,ASIA,0.0,1.8,OK
American Samoa 美属萨摩亚岛,american samoa 美属萨摩亚岛,American Samoa 美属萨摩亚岛,G,From PDF combined label,Need Review,Need Review,,1.8,Need Review
Andorra (安道尔),andorra (安道尔),Andorra 安道尔,F,Dropdown display label,欧洲区,EUROPE,8.0,1.8,OK
Andorra,andorra,Andorra 安道尔,F,From PDF country/region English label,欧洲区,EUROPE,8.0,1.8,OK
安道尔,安道尔,Andorra 安道尔,F,From PDF country/region Chinese label,欧洲区,EUROPE,8.0,1.8,OK
Andorra 安道尔,andorra 安道尔,Andorra 安道尔,F,From PDF combined label,Need Review,Need Review,,1.8,Need Review
Angola (安哥拉),angola (安哥拉),Angola 安哥拉,H,Dropdown display label,中东/印度次大陆/非洲区,MEISA,11.2,1.8,OK
Angola,angola,Angola 安哥拉,H,From PDF country/region English label,中东/印度次大陆/非洲区,MEISA,11.2,1.8,OK
安哥拉,安哥拉,Angola 安哥拉,H,From PDF country/region Chinese label,中东/印度次大陆/非洲区,MEISA,11.2,1.8,OK
Angola 安哥拉,angola 安哥拉,Angola 安哥拉,H,From PDF combined label,Need Review,Need Review,,1.8,Need Review
Anguilla (安圭拉),anguilla (安圭拉),Anguilla 安圭拉,G,Dropdown display label,拉丁美洲区,LAC,0.0,1.8,OK
Anguilla,anguilla,Anguilla 安圭拉,G,From PDF country/region English label,拉丁美洲区,LAC,0.0,1.8,OK
安圭拉,安圭拉,Anguilla 安圭拉,G,From PDF country/region Chinese label,拉丁美洲区,LAC,0.0,1.8,OK
Anguilla 安圭拉,anguilla 安圭拉,Anguilla 安圭拉,G,From PDF combined label,Need Review,Need Review,,1.8,Need Review
Antigua & Barbuda,antigua & barbuda,Antigua & Barbuda,G,From PDF country/region English label,拉丁美洲区,LAC,0.0,1.8,OK
Argentina (阿根廷),argentina (阿根廷),Argentina 阿根廷,G,Dropdown display label,拉丁美洲区,LAC,0.0,1.8,OK
Argentina,argentina,Argentina 阿根廷,G,From PDF country/region English label,拉丁美洲区,LAC,0.0,1.8,OK
阿根廷,阿根廷,Argentina 阿根廷,G,From PDF country/region Chinese label,拉丁美洲区,LAC,0.0,1.8,OK
Argentina 阿根廷,argentina 阿根廷,Argentina 阿根廷,G,From PDF combined label,Need Review,Need Review,,1.8,Need Review
Armenia (亚美尼亚),armenia (亚美尼亚),Armenia 亚美尼亚,H,Dropdown display label,欧洲区,EUROPE,8.0,1.8,OK
Armenia,armenia,Armenia 亚美尼亚,H,From PDF country/region English label,欧洲区,EUROPE,8.0,1.8,OK
亚美尼亚,亚美尼亚,Armenia 亚美尼亚,H,From PDF country/region Chinese label,欧洲区,EUROPE,8.0,1.8,OK
Armenia 亚美尼亚,armenia 亚美尼亚,Armenia 亚美尼亚,H,From PDF combined label,Need Review,Need Review,,1.8,Need Review
Aruba (阿鲁巴),aruba (阿鲁巴),Aruba 阿鲁巴,G,Dropdown display label,拉丁美洲区,LAC,0.0,1.8,OK
Aruba,aruba,Aruba 阿鲁巴,G,From PDF country/region English label,拉丁美洲区,LAC,0.0,1.8,OK
阿鲁巴,阿鲁巴,Aruba 阿鲁巴,G,From PDF country/region Chinese label,拉丁美洲区,LAC,0.0,1.8,OK
Aruba 阿鲁巴,aruba 阿鲁巴,Aruba 阿鲁巴,G,From PDF combined label,Need Review,Need Review,,1.8,Need Review
Australia (澳大利亚),australia (澳大利亚),Australia 澳大利亚,U,Dropdown display label,澳大利亚、新西兰,AUNZ,0.0,1.8,OK
