country_region_en,country_region_zh,country_region_combined,ip_zone,source_pdf_page,source_note,review_status
Afghanistan,阿富汗,Afghanistan 阿富汗,H,20,Parsed from China FedEx international export zone list; IP column only,OK
Albania,阿尔巴尼亚,Albania 阿尔巴尼亚,H,20,Parsed from China FedEx international export zone list; IP column only,OK
Algeria,阿尔及利亚,Algeria 阿尔及利亚,H,20,Parsed from China FedEx international export zone list; IP column only,OK
American Samoa,美属萨摩亚岛,American Samoa 美属萨摩亚岛,G,20,Parsed from China FedEx international export zone list; IP column only,OK
Andorra,安道尔,Andorra 安道尔,F,20,Parsed from China FedEx international export zone list; IP column only,OK
Angola,安哥拉,Angola 安哥拉,H,20,Parsed from China FedEx international export zone list; IP column only,OK
Anguilla,安圭拉,Anguilla 安圭拉,G,20,Parsed from China FedEx international export zone list; IP column only,OK
Antigua & Barbuda,,Antigua & Barbuda,G,20,Parsed from China FedEx international export zone list; IP column only,OK
Argentina,阿根廷,Argentina 阿根廷,G,20,Parsed from China FedEx international export zone list; IP column only,OK
Armenia,亚美尼亚,Armenia 亚美尼亚,H,20,Parsed from China FedEx international export zone list; IP column only,OK
Aruba,阿鲁巴,Aruba 阿鲁巴,G,20,Parsed from China FedEx international export zone list; IP column only,OK
Australia,澳大利亚,Australia 澳大利亚,U,20,Parsed from China FedEx international export zone list; IP column only,OK
Austria,奥地利,Austria 奥地利,M,20,Parsed from China FedEx international export zone list; IP column only,OK
Azerbaijan,阿塞拜疆,Azerbaijan 阿塞拜疆,H,20,Parsed from China FedEx international export zone list; IP column only,OK
Bahama,,Bahama,G,20,Parsed from China FedEx international export zone list; IP column only,OK
Bahrain,巴林,Bahrain 巴林,H,20,Parsed from China FedEx international export zone list; IP column only,OK
Bangladesh,孟加拉国,Bangladesh 孟加拉国,H,20,Parsed from China FedEx international export zone list; IP column only,OK
Barbados,巴巴多斯,Barbados 巴巴多斯,G,20,Parsed from China FedEx international export zone list; IP column only,OK
Belarus,白俄罗斯,Belarus 白俄罗斯,H,20,Parsed from China FedEx international export zone list; IP column only,OK
Belgium,比利时,Belgium 比利时,K,20,Parsed from China FedEx international export zone list; IP column only,OK
Belize,伯利兹,Belize 伯利兹,G,20,Parsed from China FedEx international export zone list; IP column only,OK
Benin,贝宁,Benin 贝宁,H,20,Parsed from China FedEx international export zone list; IP column only,OK
Bermuda,百慕大,Bermuda 百慕大,G,20,Parsed from China FedEx international export zone list; IP column only,OK
Bhutan,不丹,Bhutan 不丹,H,20,Parsed from China FedEx international export zone list; IP column only,OK
Bolivia,玻利维亚,Bolivia 玻利维亚,G,20,Parsed from China FedEx international export zone list; IP column only,OK
Bonaire,博奈尔,Bonaire 博奈尔,G,20,Parsed from China FedEx international export zone list; IP column only,OK
Bosnia-Herzegovina Bosnia- Herzegovina,波斯尼亚和黑塞哥维那,Bosnia-Herzegovina Bosnia- Herzegovina 波斯尼亚和黑塞哥维那,H,20,Parsed from China FedEx international export zone list; IP column only,OK
Botswana,博茨瓦纳,Botswana 博茨瓦纳,H,20,Parsed from China FedEx international export zone list; IP column only,OK
Brazil,巴西,Brazil 巴西,G,20,Parsed from China FedEx international export zone list; IP column only,OK
British Virgin Islands,英属维尔京群岛,British Virgin Islands 英属维尔京群岛,G,20,Parsed from China FedEx international export zone list; IP column only,OK
Brunei,文莱,Brunei 文莱,E,20,Parsed from China FedEx international export zone list; IP column only,OK
Bulgaria,保加利亚,Bulgaria 保加利亚,F,20,Parsed from China FedEx international export zone list; IP column only,OK
Burkina Faso,布基纳法索,Burkina Faso 布基纳法索,H,20,Parsed from China FedEx international export zone list; IP column only,OK
Burundi,布隆迪,Burundi 布隆迪,H,20,Parsed from China FedEx international export zone list; IP column only,OK
Cambodia,柬埔寨,Cambodia 柬埔寨,E,20,Parsed from China FedEx international export zone list; IP column only,OK
Cameroon,喀麦隆,Cameroon 喀麦隆,H,20,Parsed from China FedEx international export zone list; IP column only,OK
Canada,加拿大,Canada 加拿大,N,20,Parsed from China FedEx international export zone list; IP column only,OK
Cape Verde,佛得角,Cape Verde 佛得角,H,20,Parsed from China FedEx international export zone list; IP column only,OK
Cayman Islands,开曼群岛,Cayman Islands 开曼群岛,G,20,Parsed from China FedEx international export zone list; IP column only,OK
Chad,乍得,Chad 乍得,H,20,Parsed from China FedEx international export zone list; IP column only,OK
Chile,智利,Chile 智利,G,20,Parsed from China FedEx international export zone list; IP column only,OK
Colombia,哥伦比亚,Colombia 哥伦比亚,G,20,Parsed from China FedEx international export zone list; IP column only,OK
Congo,刚果,Congo 刚果,H,20,Parsed from China FedEx international export zone list; IP column only,OK
Cook Islands,库克群岛,Cook Islands 库克群岛,G,20,Parsed from China FedEx international export zone list; IP column only,OK
Costa Rica,哥斯达黎加,Costa Rica 哥斯达黎加,G,20,Parsed from China FedEx international export zone list; IP column only,OK
Croatia,克罗地亚,Croatia 克罗地亚,F,20,Parsed from China FedEx international export zone list; IP column only,OK
Curacao,库拉索,Curacao 库拉索,G,21,Parsed from China FedEx international export zone list; IP column only,OK
Cyprus,塞浦路斯,Cyprus 塞浦路斯,F,21,Parsed from China FedEx international export zone list; IP column only,OK
Czech Republic,捷克共和国,Czech Republic 捷克共和国,F,21,Parsed from China FedEx international export zone list; IP column only,OK
Côte D'ivoire (Ivory Coast),,Côte D'ivoire (Ivory Coast),H,21,Parsed from China FedEx international export zone list; IP column only,OK
Democratic Republic of the Congo,刚果民主共和国,Democratic Republic of the Congo 刚果民主共和国,H,21,Parsed from China FedEx international export zone list; IP column only,OK
Denmark,丹麦,Denmark 丹麦,M,21,Parsed from China FedEx international export zone list; IP column only,OK
Djibouti,吉布提,Djibouti 吉布提,H,21,Parsed from China FedEx international export zone list; IP column only,OK
Dominica,多米尼加,Dominica 多米尼加,G,21,Parsed from China FedEx international export zone list; IP column only,OK
Dominican Republic,多米尼加共和国,Dominican Republic 多米尼加共和国,G,21,Parsed from China FedEx international export zone list; IP column only,OK
East Timor,,East Timor,G,21,Parsed from China FedEx international export zone list; IP column only,OK
Ecuador,厄瓜多尔,Ecuador 厄瓜多尔,G,21,Parsed from China FedEx international export zone list; IP column only,OK
Egypt,埃及,Egypt 埃及,H,21,Parsed from China FedEx international export zone list; IP column only,OK
El Salvador,萨尔瓦多,El Salvador 萨尔瓦多,G,21,Parsed from China FedEx international export zone list; IP column only,OK
Eritrea,厄立特里亚,Eritrea 厄立特里亚,H,21,Parsed from China FedEx international export zone list; IP column only,OK
Estonia,爱沙尼亚,Estonia 爱沙尼亚,F,21,Parsed from China FedEx international export zone list; IP column only,OK
Ethiopia,埃塞俄比亚,Ethiopia 埃塞俄比亚,H,21,Parsed from China FedEx international export zone list; IP column only,OK
Faeroe Islands,法罗群岛,Faeroe Islands 法罗群岛,F,21,Parsed from China FedEx international export zone list; IP column only,OK
Fiji,斐济,Fiji 斐济,G,21,Parsed from China FedEx international export zone list; IP column only,OK
Finland,芬兰,Finland 芬兰,M,21,Parsed from China FedEx international export zone list; IP column only,OK
France,法国,France 法国,K,21,Parsed from China FedEx international export zone list; IP column only,OK
French Guiana,法属圭亚纳,French Guiana 法属圭亚纳,G,21,Parsed from China FedEx international export zone list; IP column only,OK
French Polynesia,法属玻利尼西亚,French Polynesia 法属玻利尼西亚,G,21,Parsed from China FedEx international export zone list; IP column only,OK
Gabon,加蓬,Gabon 加蓬,H,21,Parsed from China FedEx international export zone list; IP column only,OK
Gambia,冈比亚,Gambia 冈比亚,H,21,Parsed from China FedEx international export zone list; IP column only,OK
Georgia,格鲁吉亚,Georgia 格鲁吉亚,H,21,Parsed from China FedEx international export zone list; IP column only,OK
Germany,德国,Germany 德国,K,21,Parsed from China FedEx international export zone list; IP column only,OK
Ghana,加纳,Ghana 加纳,H,21,Parsed from China FedEx international export zone list; IP column only,OK
Gibraltar,直布罗陀,Gibraltar 直布罗陀,H,21,Parsed from China FedEx international export zone list; IP column only,OK
Greece,希腊,Greece 希腊,M,21,Parsed from China FedEx international export zone list; IP column only,OK
Greenland,格陵兰,Greenland 格陵兰,F,21,Parsed from China FedEx international export zone list; IP column only,OK
Grenada,,Grenada,G,21,Parsed from China FedEx international export zone list; IP column only,OK
Guadeloupe,,Guadeloupe,G,21,Parsed from China FedEx international export zone list; IP column only,OK
Guam,关岛,Guam 关岛,E,21,Parsed from China FedEx international export zone list; IP column only,OK
