weight_kg,zone,base_rate_cny,source_pdf_pages,service
0.5,1,162.3,7-9,IP export parcel
0.5,2,157.07,7-9,IP export parcel
0.5,A,82.53,7-9,IP export parcel
0.5,B,106.61,7-9,IP export parcel
0.5,D,131.37,7-9,IP export parcel
0.5,E,131.81,7-9,IP export parcel
0.5,F,129.75,7-9,IP export parcel
0.5,G,221.67,7-9,IP export parcel
0.5,H,148.17,7-9,IP export parcel
0.5,K,114.25,7-9,IP export parcel
0.5,M,129.75,7-9,IP export parcel
0.5,N,143.14,7-9,IP export parcel
0.5,O,101.81,7-9,IP export parcel
0.5,P,90.53,7-9,IP export parcel
0.5,Q,68.44,7-9,IP export parcel
0.5,R,79.65,7-9,IP export parcel
0.5,S,86.96,7-9,IP export parcel
0.5,T,135.25,7-9,IP export parcel
0.5,U,154.03,7-9,IP export parcel
0.5,V,69.43,7-9,IP export parcel
0.5,X,78.97,7-9,IP export parcel
0.5,Y,84.87,7-9,IP export parcel
0.5,Z,73.27,7-9,IP export parcel
1.0,1,173.53,7-9,IP export parcel
1.0,2,175.11,7-9,IP export parcel
1.0,A,89.33,7-9,IP export parcel
1.0,B,112.3,7-9,IP export parcel
1.0,D,144.63,7-9,IP export parcel
1.0,E,134.1,7-9,IP export parcel
1.0,F,131.27,7-9,IP export parcel
1.0,G,226.94,7-9,IP export parcel
1.0,H,175.01,7-9,IP export parcel
1.0,K,115.79,7-9,IP export parcel
1.0,M,131.27,7-9,IP export parcel
1.0,N,155.43,7-9,IP export parcel
1.0,O,103.64,7-9,IP export parcel
1.0,P,120.5,7-9,IP export parcel
1.0,Q,84.79,7-9,IP export parcel
1.0,R,95.26,7-9,IP export parcel
1.0,S,106.42,7-9,IP export parcel
1.0,T,140.53,7-9,IP export parcel
1.0,U,156.45,7-9,IP export parcel
1.0,V,76.61,7-9,IP export parcel
1.0,X,112.04,7-9,IP export parcel
1.0,Y,110.99,7-9,IP export parcel
1.0,Z,94.05,7-9,IP export parcel
1.5,1,215.32,7-9,IP export parcel
1.5,2,217.11,7-9,IP export parcel
1.5,A,105.38,7-9,IP export parcel
1.5,B,133.22,7-9,IP export parcel
1.5,D,171.69,7-9,IP export parcel
1.5,E,168.17,7-9,IP export parcel
1.5,F,159.08,7-9,IP export parcel
1.5,G,273.54,7-9,IP export parcel
1.5,H,212.45,7-9,IP export parcel
1.5,K,140.32,7-9,IP export parcel
1.5,M,159.08,7-9,IP export parcel
1.5,N,192.71,7-9,IP export parcel
1.5,O,125.6,7-9,IP export parcel
1.5,P,147.28,7-9,IP export parcel
1.5,Q,100.59,7-9,IP export parcel
1.5,R,113.01,7-9,IP export parcel
1.5,S,126.34,7-9,IP export parcel
1.5,T,166.83,7-9,IP export parcel
1.5,U,196.2,7-9,IP export parcel
1.5,V,90.38,7-9,IP export parcel
1.5,X,132.91,7-9,IP export parcel
1.5,Y,131.66,7-9,IP export parcel
1.5,Z,111.57,7-9,IP export parcel
2.0,1,257.11,7-9,IP export parcel
2.0,2,259.11,7-9,IP export parcel
2.0,A,121.43,7-9,IP export parcel
2.0,B,154.15,7-9,IP export parcel
2.0,D,198.76,7-9,IP export parcel
2.0,E,202.24,7-9,IP export parcel
2.0,F,186.9,7-9,IP export parcel
2.0,G,320.14,7-9,IP export parcel
2.0,H,249.89,7-9,IP export parcel
2.0,K,164.86,7-9,IP export parcel
2.0,M,186.9,7-9,IP export parcel
2.0,N,229.99,7-9,IP export parcel
2.0,O,147.56,7-9,IP export parcel
2.0,P,174.06,7-9,IP export parcel
2.0,Q,116.39,7-9,IP export parcel
2.0,R,130.75,7-9,IP export parcel
2.0,S,146.26,7-9,IP export parcel
2.0,T,193.14,7-9,IP export parcel
2.0,U,235.94,7-9,IP export parcel
2.0,V,104.14,7-9,IP export parcel
2.0,X,153.79,7-9,IP export parcel
2.0,Y,152.34,7-9,IP export parcel
2.0,Z,129.09,7-9,IP export parcel
2.5,1,298.89,7-9,IP export parcel
2.5,2,301.11,7-9,IP export parcel
2.5,A,137.47,7-9,IP export parcel
2.5,B,175.07,7-9,IP export parcel
2.5,D,225.83,7-9,IP export parcel
2.5,E,236.31,7-9,IP export parcel
2.5,F,214.71,7-9,IP export parcel
2.5,G,366.74,7-9,IP export parcel
2.5,H,287.33,7-9,IP export parcel
2.5,K,189.39,7-9,IP export parcel
2.5,M,214.71,7-9,IP export parcel
2.5,N,267.27,7-9,IP export parcel
2.5,O,169.52,7-9,IP export parcel
2.5,P,200.84,7-9,IP export parcel
2.5,Q,132.18,7-9,IP export parcel
2.5,R,148.5,7-9,IP export parcel
2.5,S,166.18,7-9,IP export parcel
2.5,T,219.44,7-9,IP export parcel
2.5,U,275.69,7-9,IP export parcel
2.5,V,117.9,7-9,IP export parcel
2.5,X,174.66,7-9,IP export parcel
2.5,Y,173.02,7-9,IP export parcel
2.5,Z,146.62,7-9,IP export parcel
3.0,1,300.35,7-9,IP export parcel
3.0,2,310.75,7-9,IP export parcel
3.0,A,138.16,7-9,IP export parcel
3.0,B,175.81,7-9,IP export parcel
3.0,D,233.42,7-9,IP export parcel
3.0,E,237.0,7-9,IP export parcel
3.0,F,221.22,7-9,IP export parcel
3.0,G,400.96,7-9,IP export parcel
3.0,H,289.96,7-9,IP export parcel
3.0,K,192.2,7-9,IP export parcel
3.0,M,217.47,7-9,IP export parcel
3.0,N,291.46,7-9,IP export parcel
3.0,O,171.11,7-9,IP export parcel
3.0,P,201.6,7-9,IP export parcel
3.0,Q,133.03,7-9,IP export parcel
3.0,R,149.32,7-9,IP export parcel
