min_kg,max_kg,zone,rate_cny_per_kg,source_pdf_pages,service
21.0,44.0,1,49.22,9-10,IP export parcel
21.0,44.0,2,49.18,9-10,IP export parcel
21.0,44.0,A,17.21,9-10,IP export parcel
21.0,44.0,B,26.88,9-10,IP export parcel
21.0,44.0,D,48.64,9-10,IP export parcel
21.0,44.0,E,44.87,9-10,IP export parcel
21.0,44.0,F,53.62,9-10,IP export parcel
21.0,44.0,G,55.4,9-10,IP export parcel
21.0,44.0,H,53.47,9-10,IP export parcel
21.0,44.0,K,39.92,9-10,IP export parcel
21.0,44.0,M,51.22,9-10,IP export parcel
21.0,44.0,N,53.5,9-10,IP export parcel
21.0,44.0,O,29.87,9-10,IP export parcel
21.0,44.0,P,17.24,9-10,IP export parcel
21.0,44.0,Q,25.46,9-10,IP export parcel
21.0,44.0,R,28.05,9-10,IP export parcel
21.0,44.0,S,27.91,9-10,IP export parcel
21.0,44.0,T,35.1,9-10,IP export parcel
21.0,44.0,U,47.87,9-10,IP export parcel
21.0,44.0,V,14.17,9-10,IP export parcel
21.0,44.0,X,19.86,9-10,IP export parcel
21.0,44.0,Y,24.32,9-10,IP export parcel
21.0,44.0,Z,22.66,9-10,IP export parcel
45.0,70.0,1,47.75,9-10,IP export parcel
45.0,70.0,2,47.84,9-10,IP export parcel
45.0,70.0,A,16.56,9-10,IP export parcel
45.0,70.0,B,25.81,9-10,IP export parcel
45.0,70.0,D,47.69,9-10,IP export parcel
45.0,70.0,E,43.93,9-10,IP export parcel
45.0,70.0,F,52.65,9-10,IP export parcel
45.0,70.0,G,54.43,9-10,IP export parcel
45.0,70.0,H,52.83,9-10,IP export parcel
45.0,70.0,K,38.93,9-10,IP export parcel
45.0,70.0,M,50.15,9-10,IP export parcel
45.0,70.0,N,52.77,9-10,IP export parcel
45.0,70.0,O,29.35,9-10,IP export parcel
45.0,70.0,P,14.75,9-10,IP export parcel
45.0,70.0,Q,23.79,9-10,IP export parcel
45.0,70.0,R,27.15,9-10,IP export parcel
45.0,70.0,S,26.21,9-10,IP export parcel
45.0,70.0,T,34.11,9-10,IP export parcel
45.0,70.0,U,47.3,9-10,IP export parcel
45.0,70.0,V,13.77,9-10,IP export parcel
45.0,70.0,X,19.2,9-10,IP export parcel
45.0,70.0,Y,22.96,9-10,IP export parcel
45.0,70.0,Z,21.39,9-10,IP export parcel
71.0,99.0,1,44.99,9-10,IP export parcel
71.0,99.0,2,45.18,9-10,IP export parcel
71.0,99.0,A,15.59,9-10,IP export parcel
71.0,99.0,B,24.51,9-10,IP export parcel
71.0,99.0,D,45.77,9-10,IP export parcel
71.0,99.0,E,42.64,9-10,IP export parcel
71.0,99.0,F,51.22,9-10,IP export parcel
71.0,99.0,G,53.09,9-10,IP export parcel
71.0,99.0,H,50.96,9-10,IP export parcel
71.0,99.0,K,37.64,9-10,IP export parcel
71.0,99.0,M,48.47,9-10,IP export parcel
71.0,99.0,N,50.96,9-10,IP export parcel
71.0,99.0,O,28.72,9-10,IP export parcel
71.0,99.0,P,12.45,9-10,IP export parcel
71.0,99.0,Q,20.28,9-10,IP export parcel
